"subID","interviewyear","household_number_in_house","unrelated_subset","interview_age","sex","LQ","handnessfactor","race_ethnicity","nih_fluidcogcomp_unadjusted","nih_fluidcogcomp_ageadjusted","nih_crycogcomp_unadjusted","nih_crycogcomp_ageadjusted","nih_cogfuncogcomp_unadj","nih_cogfuncogcomp_ageadj","nih_eccogcomp_unadjusted","nih_eccogcomp_ageadjusted","nih_totalcogcomp_unadjusted","nih_totalcogcomp_ageadjusted","site","mean_fd","age","interview_date","annual_fam_inc","povertyline","income.adj","ICV"
"HCD0001305",2017,"5","TRUE",143,"M",100,1,"Hispanic",103,103,92,111,NA,NA,100,105,96,108,"WashU",0.847422275,11.9166666666667,"2017/10/1",350000,28780,12.1612230715775,1702425.7
"HCD0008117",2019,"4","TRUE",192,"F",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvard",1.2863818096,16,"2019/4/1",20000,25750,0.776699029126214,1427562.38
"HCD0021614",2018,"4","TRUE",110,"F",100,1,"White",93,98,98,142,NA,NA,93,108,94,123,"Harvard",0.6992047193,9.16666666666667,"2018/7/1",325000,25100,12.9482071713147,1623163.12
"HCD0022919",2018,"6","TRUE",117,"F",100,1,"White",91,94,98,142,NA,NA,91,105,92,121,"UCLA",0.6801171089,9.75,"2018/7/1",125000,33740,3.70480142264375,1599488.38
"HCD0026119",2019,"3","TRUE",182,"F",100,1,"White",109,96,100,105,NA,NA,100,86,104,100,"Harvard",0.4352089262,15.1666666666667,"2019/4/1",55000,21330,2.57852789498359,1692534.47
"HCD0029630",2019,"5","TRUE",221,"F",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UCLA",0.5961385538,18.4166666666667,"2019/1/1",250000,30170,8.28637719588996,1721611.47
"HCD0031617",2017,"4","TRUE",229,"M",100,1,"White",112,99,112,122,NA,NA,114,109,114,112,"Harvard",0.4674572983,19.0833333333333,"2017/4/1",50000,24600,2.03252032520325,1682151.77
"HCD0040113",2017,"4","TRUE",112,"M",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",0.564339601,9.33333333333333,"2017/7/1",85000,24600,3.45528455284553,1495666.65
"HCD0041822",2018,"4","TRUE",209,"M",100,1,"White",119,114,102,103,NA,NA,115,114,112,110,"Harvard",0.4119554168,17.4166666666667,"2018/4/1",225000,25100,8.96414342629482,1564897.8
"HCD0042420",2018,"2","TRUE",220,"M",100,1,"Black",105,82,116,138,NA,NA,102,84,112,112,"UCLA",0.4354637507,18.3333333333333,"2018/1/1",45000,16460,2.73390036452005,1666965.98
"HCD0051825",2019,"5","TRUE",218,"F",100,1,"White",120,110,117,132,NA,NA,123,123,122,124,"Harvard",0.4315028937,18.1666666666667,"2019/4/1",1e+05,30170,3.31455087835598,1097478.23
"HCD0059235",2018,"4","TRUE",160,"F",100,1,"Other",117,123,104,127,NA,NA,111,120,112,130,"Harvard",0.4997731653,13.3333333333333,"2018/1/1",250000,25100,9.9601593625498,1497435.56
"HCD0069238",2018,"4","FALSE",176,"M",100,1,"Hispanic",102,89,98,109,NA,NA,95,81,100,98,"UCLA",0.6999548972,14.6666666666667,"2018/4/1",90000,25100,3.58565737051793,1716648.27
"HCD0071831",2019,"5","TRUE",232,"F",100,1,"Black",999,102,NA,125,NA,NA,NA,106,NA,116,"WashU",0.8214295759,19.3333333333333,"2019/1/1",2e+05,30170,6.62910175671197,1516676.03
"HCD0075435",2018,"3","TRUE",134,"F",100,1,"White",107,123,92,106,NA,NA,104,129,99,117,"WashU",0.5735520919,11.1666666666667,"2018/4/1",65000,20780,3.12800769971126,1335271.7
"HCD0110310",2017,"6","FALSE",119,"F",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",0.4618484781,9.91666666666667,"2017/7/1",185000,32960,5.6128640776699,1653182.68
"HCD0110411",2018,"3","TRUE",181,"F",100,1,"White",116,110,101,109,NA,NA,113,110,109,111,"WashU",0.5767349293,15.0833333333333,"2018/7/1",30000,20780,1.4436958614052,1547344.29
"HCD0111716",2017,"4","FALSE",147,"F",100,1,"Hispanic",98,91,94,105,NA,NA,97,94,95,97,"Harvard",0.8585408497,12.25,"2017/10/1",201000,24600,8.17073170731707,1753880.91
"HCD0114419",2018,"5","TRUE",180,"F",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvard",0.5119106507,15,"2018/10/1",150000,29420,5.09857239972808,1400585.54
"HCD0118528",2018,"5","TRUE",166,"F",100,1,"White",115,125,94,100,NA,NA,106,117,105,115,"UMinn",0.6634524707,13.8333333333333,"2018/7/1",150000,29420,5.09857239972808,1463147.91
"HCD0119429",2018,"5","TRUE",191,"M",100,1,"Black",111,102,95,93,NA,NA,107,100,103,97,"WashU",0.7807323484,15.9166666666667,"2018/1/1",15000,29420,0.509857239972808,1644952.52
"HCD0121719",2018,"4","TRUE",165,"F",60,1,"Other",112,112,112,146,NA,NA,112,120,114,134,"UCLA",0.6127987302,13.75,"2018/7/1",30000,25100,1.19521912350598,1277117.23
"HCD0123925",2018,"4","TRUE",164,"F",-100,2,"White",109,111,103,127,NA,NA,100,100,107,123,"WashU",0.5059927855,13.6666666666667,"2018/7/1",65000,25100,2.58964143426295,1561341.92
"HCD0124725",2017,"6","TRUE",164,"M",100,1,"Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",0.4875024578,13.6666666666667,"2017/10/1",140000,32960,4.24757281553398,1597727.07
"HCD0125424",2017,"1","TRUE",213,"M",100,1,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",0.9159310497,17.75,"2017/7/1",135000,12060,11.1940298507463,1578070.72
"HCD0128935",2017,"4","FALSE",198,"F",100,1,"White",122,122,111,129,NA,NA,112,113,119,130,"Harvard",0.4837945562,16.5,"2017/10/1",150000,24600,6.09756097560976,1507974.83
"HCD0129937",2017,"5","TRUE",114,"F",100,1,"White",107,126,92,122,NA,NA,103,129,99,129,"WashU",1.2157671352,9.5,"2017/10/1",110000,28780,3.82209867963864,1511109.02
"HCD0134526",2018,"4","TRUE",160,"F",100,1,"White",111,113,99,114,NA,NA,106,113,105,116,"UCLA",0.5849141666,13.3333333333333,"2018/4/1",110000,25100,4.38247011952191,1554766.53
"HCD0135831",2018,"4","TRUE",141,"M",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvard",0.5114630693,11.75,"2018/1/1",190000,25100,7.56972111553785,1758804.77
"HCD0143426",2017,"5","TRUE",168,"F",100,1,"Hispanic",117,121,108,130,NA,NA,116,127,114,131,"UCLA",1.3983927253,14,"2017/10/1",1e+05,28780,3.47463516330785,1534780.78
"HCD0145733",2019,"4","TRUE",238,"F",100,1,"Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvard",0.3372173779,19.8333333333333,"2019/4/1",1e+05,25750,3.88349514563107,1566275.73
"HCD0146331",2018,"4","TRUE",156,"F",100,1,"Hispanic",101,94,104,131,NA,NA,95,88,103,115,"UCLA",0.9949666306,13,"2018/7/1",2300,25100,0.0916334661354582,1417227.9
"HCD0147333",2017,"5","FALSE",123,"F",100,1,"Hispanic",75,63,76,78,NA,NA,76,68,70,64,"Harvard",0.5678498654,10.25,"2017/7/1",10000,28780,0.347463516330785,1266782.44
"HCD0152932",2018,"4","TRUE",131,"F",100,1,"Black",114,133,90,113,NA,NA,99,111,101,127,"WashU",1.6377319941,10.9166666666667,"2018/4/1",34700,25100,1.38247011952191,1739253.91
"HCD0154431",2017,"5","TRUE",130,"M",100,1,"Other",110,130,103,142,NA,NA,114,146,107,143,"Harvard",0.5627265617,10.8333333333333,"2017/10/1",1e+05,28780,3.47463516330785,1752916.36
"HCD0161327",2018,"4","TRUE",140,"F",100,1,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",0.6712938721,11.6666666666667,"2018/10/1",225000,25100,8.96414342629482,1491268.79
"HCD0174235",2018,"6","FALSE",181,"M",100,1,"White",114,116,108,125,NA,NA,113,121,113,125,"UMinn",0.5762763151,15.0833333333333,"2018/7/1",1e+05,33740,2.963841138115,1698191.72
"HCD0182941",2019,"5","TRUE",199,"F",100,1,"White",105,89,103,110,NA,NA,103,93,104,99,"Harvard",0.421971095,16.5833333333333,"2019/4/1",132000,30170,4.3752071594299,1411890.19
"HCD0183438",2018,"5","TRUE",162,"F",100,1,"White",117,120,98,109,NA,NA,111,118,108,117,"Harvard",0.5430434663,13.5,"2018/7/1",140000,29420,4.75866757307954,1667670.92
"HCD0183539",2019,"3","TRUE",221,"M",100,1,"White",129,120,111,122,NA,NA,121,118,123,125,"Harvard",0.4644112398,18.4166666666667,"2019/1/1",-999999,21330,NA,1498793
"HCD0185442",2019,"5","TRUE",187,"M",100,1,"White",120,130,106,121,NA,NA,119,140,115,131,"UMinn",0.5929338576,15.5833333333333,"2019/1/1",-999999,30170,NA,1602755.55
"HCD0185644",2017,"4","TRUE",142,"M",-100,2,"White",113,122,108,146,NA,NA,107,126,112,146,"Harvard",0.6663138304,11.8333333333333,"2017/4/1",290000,24600,11.7886178861789,1687328.8
"HCD0193845",2017,"7","FALSE",106,"F",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",0.8479070913,8.83333333333333,"2017/4/1",140000,37140,3.76952073236403,1491991.35
"HCD0197045",2017,"4","TRUE",218,"F",100,1,"White",122,113,110,116,NA,NA,110,105,118,117,"WashU",0.8893348344,18.1666666666667,"2017/4/1",150000,24600,6.09756097560976,1653951.33
