"SCrank","SCtype","decile","SCtype2","SCranktype_mean","SC_label","SCtypesum","SCranktype_order"
1,"U_U",1,1,6,"SC.1_h","U_U1",1
2,"U_U",1,1,6,"SC.2_h","U_U1",1
4,"U_U",1,1,6,"SC.3_h","U_U1",1
6,"U_U",1,1,6,"SC.4_h","U_U1",1
10,"U_U",1,1,6,"SC.5_h","U_U1",1
14,"U_U",2,2,17.55,"SC.6_h","U_U2",2
18.5,"M_U",2,1,28.3,"SC.7_h","M_U1",3
24.5,"M_U",2,1,28.3,"SC.8_h","M_U1",3
31,"M_U",3,1,28.3,"SC.9_h","M_U1",3
39,"M_U",3,2,46.7666666666667,"SC.10_h","M_U2",4
46,"M_U",4,2,46.7666666666667,"SC.11_h","M_U2",4
54.5,"T_U",5,1,70.8055555555556,"SC.12_h","T_U1",6
65.5,"T_U",5,1,70.8055555555556,"SC.13_h","T_U1",6
75,"T_U",6,1,70.8055555555556,"SC.14_h","T_U1",6
87,"T_U",7,1,70.8055555555556,"SC.15_h","T_U1",6
98,"T_U",8,2,104.888888888889,"SC.16_h","T_U2",9
111.5,"T_U",9,2,104.888888888889,"SC.17_h","T_U2",9
3,"U_U",1,1,6,"SC.18_h","U_U1",1
5,"U_U",1,1,6,"SC.19_h","U_U1",1
8,"U_U",1,1,6,"SC.20_h","U_U1",1
11,"U_U",1,1,6,"SC.21_h","U_U1",1
15,"U_U",2,2,17.55,"SC.22_h","U_U2",2
21,"M_U",2,1,28.3,"SC.23_h","M_U1",3
26,"M_U",2,1,28.3,"SC.24_h","M_U1",3
32.5,"M_U",3,1,28.3,"SC.25_h","M_U1",3
40,"M_U",4,2,46.7666666666667,"SC.26_h","M_U2",4
47.5,"M_U",4,2,46.7666666666667,"SC.27_h","M_U2",4
57,"T_U",5,1,70.8055555555556,"SC.28_h","T_U1",6
67,"T_U",6,1,70.8055555555556,"SC.29_h","T_U1",6
76.5,"T_U",6,1,70.8055555555556,"SC.30_h","T_U1",6
88,"T_U",7,2,104.888888888889,"SC.31_h","T_U2",9
99.5,"T_U",8,2,104.888888888889,"SC.32_h","T_U2",9
114,"T_U",9,2,104.888888888889,"SC.33_h","T_U2",9
7,"U_U",1,1,6,"SC.34_h","U_U1",1
9,"U_U",1,1,6,"SC.35_h","U_U1",1
13,"U_U",1,2,17.55,"SC.36_h","U_U2",2
17,"U_U",2,2,17.55,"SC.37_h","U_U2",2
22,"M_U",2,1,28.3,"SC.38_h","M_U1",3
28,"M_U",3,1,28.3,"SC.39_h","M_U1",3
35,"M_U",3,1,28.3,"SC.40_h","M_U1",3
42,"M_U",4,2,46.7666666666667,"SC.41_h","M_U2",4
50.5,"M_U",4,2,46.7666666666667,"SC.42_h","M_U2",4
59,"T_U",5,1,70.8055555555556,"SC.43_h","T_U1",6
68,"T_U",6,1,70.8055555555556,"SC.44_h","T_U1",6
79.5,"T_U",7,1,70.8055555555556,"SC.45_h","T_U1",6
91,"T_U",7,2,104.888888888889,"SC.46_h","T_U2",9
102.5,"T_U",8,2,104.888888888889,"SC.47_h","T_U2",9
116,"T_U",9,2,104.888888888889,"SC.48_h","T_U2",9
12,"U_U",1,2,17.55,"SC.49_h","U_U2",2
16,"U_U",2,2,17.55,"SC.50_h","U_U2",2
20,"U_U",2,2,17.55,"SC.51_h","U_U2",2
24.5,"M_U",2,1,28.3,"SC.52_h","M_U1",3
30,"M_U",3,1,28.3,"SC.53_h","M_U1",3
36,"M_U",3,1,28.3,"SC.54_h","M_U1",3
44,"M_U",4,2,46.7666666666667,"SC.55_h","M_U2",4
53,"M_U",5,2,46.7666666666667,"SC.56_h","M_U2",4
61,"T_U",5,1,70.8055555555556,"SC.57_h","T_U1",6
71.5,"T_U",6,1,70.8055555555556,"SC.58_h","T_U1",6
82,"T_U",7,1,70.8055555555556,"SC.59_h","T_U1",6
92,"T_U",8,2,104.888888888889,"SC.60_h","T_U2",9
105,"T_U",9,2,104.888888888889,"SC.61_h","T_U2",9
117.5,"T_U",9,2,104.888888888889,"SC.62_h","T_U2",9
18.5,"U_U",2,2,17.55,"SC.63_h","U_U2",2
23,"U_U",2,2,17.55,"SC.64_h","U_U2",2
29,"M_U",3,1,28.3,"SC.65_h","M_U1",3
34,"M_U",3,1,28.3,"SC.66_h","M_U1",3
41,"M_U",4,2,46.7666666666667,"SC.67_h","M_U2",4
47.5,"M_U",4,2,46.7666666666667,"SC.68_h","M_U2",4
56,"M_U",5,2,46.7666666666667,"SC.69_h","M_U2",4
64,"T_U",5,1,70.8055555555556,"SC.70_h","T_U1",6
74,"T_U",6,1,70.8055555555556,"SC.71_h","T_U1",6
84.5,"T_U",7,1,70.8055555555556,"SC.72_h","T_U1",6
96.5,"T_U",8,2,104.888888888889,"SC.73_h","T_U2",9
108,"T_U",9,2,104.888888888889,"SC.74_h","T_U2",9
121,"T_U",10,2,104.888888888889,"SC.75_h","T_U2",9
27,"U_U",3,2,17.55,"SC.76_h","U_U2",2
32.5,"M_U",3,1,28.3,"SC.77_h","M_U1",3
38,"M_U",3,2,46.7666666666667,"SC.78_h","M_U2",4
45,"M_U",4,2,46.7666666666667,"SC.79_h","M_U2",4
52,"M_U",4,2,46.7666666666667,"SC.80_h","M_U2",4
60,"M_U",5,2,46.7666666666667,"SC.81_h","M_U2",4
69,"T_U",6,1,70.8055555555556,"SC.82_h","T_U1",6
79.5,"T_U",7,1,70.8055555555556,"SC.83_h","T_U1",6
89,"T_U",7,2,104.888888888889,"SC.84_h","T_U2",9
101,"T_U",8,2,104.888888888889,"SC.85_h","T_U2",9
113,"T_U",9,2,104.888888888889,"SC.86_h","T_U2",9
124.5,"T_U",10,2,104.888888888889,"SC.87_h","T_U2",9
37,"M_M",3,1,52.125,"SC.88_h","M_M1",5
43,"M_M",4,1,52.125,"SC.89_h","M_M1",5
50.5,"M_M",4,1,52.125,"SC.90_h","M_M1",5
58,"M_M",5,1,52.125,"SC.91_h","M_M1",5
65.5,"M_M",6,2,77,"SC.92_h","M_M2",7
73,"T_M",6,1,95.9333333333333,"SC.93_h","T_M1",8
83,"T_M",7,1,95.9333333333333,"SC.94_h","T_M1",8
95,"T_M",8,1,95.9333333333333,"SC.95_h","T_M1",8
106,"T_M",9,1,95.9333333333333,"SC.96_h","T_M1",8
117.5,"T_M",10,2,127.766666666667,"SC.97_h","T_M2",10
127.5,"T_M",10,2,127.766666666667,"SC.98_h","T_M2",10
49,"M_M",4,1,52.125,"SC.99_h","M_M1",5
54.5,"M_M",5,1,52.125,"SC.100_h","M_M1",5
63,"M_M",5,1,52.125,"SC.101_h","M_M1",5
71.5,"M_M",6,2,77,"SC.102_h","M_M2",7
81,"T_M",7,1,95.9333333333333,"SC.103_h","T_M1",8
90,"T_M",7,1,95.9333333333333,"SC.104_h","T_M1",8
99.5,"T_M",8,1,95.9333333333333,"SC.105_h","T_M1",8
110,"T_M",9,1,95.9333333333333,"SC.106_h","T_M1",8
123,"T_M",10,2,127.766666666667,"SC.107_h","T_M2",10
131,"T_M",11,2,127.766666666667,"SC.108_h","T_M2",10
62,"M_M",5,1,52.125,"SC.109_h","M_M1",5
70,"M_M",6,2,77,"SC.110_h","M_M2",7
78,"M_M",6,2,77,"SC.111_h","M_M2",7
86,"T_M",7,1,95.9333333333333,"SC.112_h","T_M1",8
96.5,"T_M",8,1,95.9333333333333,"SC.113_h","T_M1",8
107,"T_M",9,1,95.9333333333333,"SC.114_h","T_M1",8
119,"T_M",10,2,127.766666666667,"SC.115_h","T_M2",10
126,"T_M",10,2,127.766666666667,"SC.116_h","T_M2",10
135,"T_M",11,2,127.766666666667,"SC.117_h","T_M2",10
76.5,"M_M",6,2,77,"SC.118_h","M_M2",7
84.5,"M_M",7,2,77,"SC.119_h","M_M2",7
94,"T_M",8,1,95.9333333333333,"SC.120_h","T_M1",8
104,"T_M",8,1,95.9333333333333,"SC.121_h","T_M1",8
115,"T_M",9,2,127.766666666667,"SC.122_h","T_M2",10
124.5,"T_M",10,2,127.766666666667,"SC.123_h","T_M2",10
132,"T_M",11,2,127.766666666667,"SC.124_h","T_M2",10
137,"T_M",11,2,127.766666666667,"SC.125_h","T_M2",10
93,"M_M",8,2,77,"SC.126_h","M_M2",7
102.5,"T_M",8,1,95.9333333333333,"SC.127_h","T_M1",8
111.5,"T_M",9,1,95.9333333333333,"SC.128_h","T_M1",8
122,"T_M",10,2,127.766666666667,"SC.129_h","T_M2",10
130,"T_M",11,2,127.766666666667,"SC.130_h","T_M2",10
136,"T_M",11,2,127.766666666667,"SC.131_h","T_M2",10
141,"T_M",11,2,127.766666666667,"SC.132_h","T_M2",10
109,"T_T",9,1,132.227272727273,"SC.133_h","T_T1",11
120,"T_T",10,1,132.227272727273,"SC.134_h","T_T1",11
129,"T_T",10,1,132.227272727273,"SC.135_h","T_T1",11
134,"T_T",11,1,132.227272727273,"SC.136_h","T_T1",11
140,"T_T",11,1,132.227272727273,"SC.137_h","T_T1",11
144,"T_T",12,2,148.5,"SC.138_h","T_T2",12
127.5,"T_T",10,1,132.227272727273,"SC.139_h","T_T1",11
133,"T_T",11,1,132.227272727273,"SC.140_h","T_T1",11
139,"T_T",11,1,132.227272727273,"SC.141_h","T_T1",11
143,"T_T",12,1,132.227272727273,"SC.142_h","T_T1",11
147,"T_T",12,2,148.5,"SC.143_h","T_T2",12
138,"T_T",11,1,132.227272727273,"SC.144_h","T_T1",11
142,"T_T",12,1,132.227272727273,"SC.145_h","T_T1",11
146,"T_T",12,2,148.5,"SC.146_h","T_T2",12
149,"T_T",12,2,148.5,"SC.147_h","T_T2",12
145,"T_T",12,2,148.5,"SC.148_h","T_T2",12
148,"T_T",12,2,148.5,"SC.149_h","T_T2",12
151,"T_T",12,2,148.5,"SC.150_h","T_T2",12
150,"T_T",12,2,148.5,"SC.151_h","T_T2",12
152,"T_T",12,2,148.5,"SC.152_h","T_T2",12
153,"T_T",12,2,148.5,"SC.153_h","T_T2",12
