"label_17network","index","label","network_label","label_7network","index_17network","network_label_17network","averagerank.wholebrain","finalrank.wholebrain","averagerank.hemisphere","finalrank.hemisphere","dataorder","finalrank.wholebrainrank"
"17Networks_LH_DorsAttnA_TempOcc_2",1,"LH_Vis_1","Vis","7Networks_LH_Vis_1",61,"DorsAttnA",196.1,182,97,92,121,182
"17Networks_LH_DefaultC_PHC_2",2,"LH_Vis_2","Vis","7Networks_LH_Vis_2",193,"DefaultC",211.7,206,106.3,101,385,206
"17Networks_LH_VisCent_ExStr_1",3,"LH_Vis_3","Vis","7Networks_LH_Vis_3",1,"VisCent",151.1,109.5,75.8,55.5,1,109
"17Networks_LH_VisPeri_ExStrInf_1",4,"LH_Vis_4","Vis","7Networks_LH_Vis_4",13,"VisPeri",127.1,75,64.4,39,25,75
"17Networks_LH_VisCent_ExStr_2",5,"LH_Vis_5","Vis","7Networks_LH_Vis_5",2,"VisCent",105,53.5,52.2,26,3,53
"17Networks_LH_VisCent_ExStr_3",6,"LH_Vis_6","Vis","7Networks_LH_Vis_6",3,"VisCent",112.6,64,56.7,32,5,64
"17Networks_LH_DefaultC_PHC_3",7,"LH_Vis_7","Vis","7Networks_LH_Vis_7",194,"DefaultC",160.4,126,81.2,65,387,126
"17Networks_LH_DorsAttnA_TempOcc_4",8,"LH_Vis_8","Vis","7Networks_LH_Vis_8",63,"DorsAttnA",165.4,135,83.9,71,125,135
"17Networks_LH_VisCent_ExStr_4",9,"LH_Vis_9","Vis","7Networks_LH_Vis_9",4,"VisCent",84.3,24,41.7,12,7,24
"17Networks_LH_VisPeri_ExStrInf_2",10,"LH_Vis_10","Vis","7Networks_LH_Vis_10",14,"VisPeri",85.5,28,43.4,16,27,28
"17Networks_LH_VisPeri_ExStrInf_3",11,"LH_Vis_11","Vis","7Networks_LH_Vis_11",15,"VisPeri",83.6,22,42,13,29,22
"17Networks_LH_VisCent_ExStr_5",12,"LH_Vis_12","Vis","7Networks_LH_Vis_12",5,"VisCent",109.8,60,54.2,29,9,60
"17Networks_LH_VisPeri_ExStrInf_4",13,"LH_Vis_13","Vis","7Networks_LH_Vis_13",16,"VisPeri",123.9,73,61.3,34.5,31,73
"17Networks_LH_VisCent_ExStr_6",14,"LH_Vis_14","Vis","7Networks_LH_Vis_14",6,"VisCent",141.5,94,71.7,49,11,94
"17Networks_LH_VisCent_Striate_1",15,"LH_Vis_15","Vis","7Networks_LH_Vis_15",7,"VisCent",73.2,8,37,3,13,8
"17Networks_LH_VisPeri_ExStrInf_5",16,"LH_Vis_16","Vis","7Networks_LH_Vis_16",17,"VisPeri",100.1,44,50.6,25,33,44
"17Networks_LH_VisCent_ExStr_7",17,"LH_Vis_17","Vis","7Networks_LH_Vis_17",8,"VisCent",140.5,91.5,71.2,48,15,91
"17Networks_LH_VisPeri_StriCal_1",18,"LH_Vis_18","Vis","7Networks_LH_Vis_18",18,"VisPeri",63.4,3,31.7,2,35,3
"17Networks_LH_VisCent_ExStr_8",19,"LH_Vis_19","Vis","7Networks_LH_Vis_19",9,"VisCent",127.2,76.5,63.4,37,17,76
"17Networks_LH_DefaultC_Rsp_1",20,"LH_Vis_20","Vis","7Networks_LH_Vis_20",189,"DefaultC",147.9,103,74.4,51.5,377,103
"17Networks_LH_VisPeri_StriCal_2",21,"LH_Vis_21","Vis","7Networks_LH_Vis_21",19,"VisPeri",57.9,1,28.7,1,37,1
"17Networks_LH_VisPeri_ExStrSup_1",22,"LH_Vis_22","Vis","7Networks_LH_Vis_22",20,"VisPeri",76.8,12,38.1,5,39,12
"17Networks_LH_VisCent_ExStr_9",23,"LH_Vis_23","Vis","7Networks_LH_Vis_23",10,"VisCent",167.1,139,84.6,73,19,139
"17Networks_LH_VisCent_ExStr_10",24,"LH_Vis_24","Vis","7Networks_LH_Vis_24",11,"VisCent",74,9,37.9,4,21,9
"17Networks_LH_VisPeri_ExStrSup_2",25,"LH_Vis_25","Vis","7Networks_LH_Vis_25",21,"VisPeri",78.6,16,39.1,8.5,41,16
"17Networks_LH_VisPeri_ExStrSup_3",26,"LH_Vis_26","Vis","7Networks_LH_Vis_26",22,"VisPeri",87.5,29.5,43.6,17,43,30
"17Networks_LH_VisCent_ExStr_11",27,"LH_Vis_27","Vis","7Networks_LH_Vis_27",12,"VisCent",135,87,68.3,44,23,87
"17Networks_LH_DorsAttnA_ParOcc_2",28,"LH_Vis_28","Vis","7Networks_LH_Vis_28",65,"DorsAttnA",166.2,136,82.5,69,129,136
"17Networks_LH_VisPeri_ExStrSup_4",29,"LH_Vis_29","Vis","7Networks_LH_Vis_29",23,"VisPeri",92.2,36,46.4,19,45,36
"17Networks_LH_VisPeri_ExStrSup_5",30,"LH_Vis_30","Vis","7Networks_LH_Vis_30",24,"VisPeri",108.1,58,54.6,30,47,58
"17Networks_LH_DorsAttnA_SPL_2",31,"LH_Vis_31","Vis","7Networks_LH_Vis_31",67,"DorsAttnA",131.5,81,64.3,38,133,81
"17Networks_LH_SomMotB_Aud_1",32,"LH_SomMot_1","SomMot","7Networks_LH_SomMot_1",44,"SomMotB",199.8,189,100.8,97,87,189
"17Networks_LH_SomMotB_Aud_2",33,"LH_SomMot_2","SomMot","7Networks_LH_SomMot_2",45,"SomMotB",147.3,100,74.7,53,89,100
"17Networks_LH_SomMotB_Ins_1",34,"LH_SomMot_3","SomMot","7Networks_LH_SomMot_3",46,"SomMotB",191.5,177,96.4,90,91,177
"17Networks_LH_SomMotB_S2_1",35,"LH_SomMot_4","SomMot","7Networks_LH_SomMot_4",47,"SomMotB",185.3,170,92.3,87,93,170
"17Networks_LH_SomMotB_S2_2",36,"LH_SomMot_5","SomMot","7Networks_LH_SomMot_5",48,"SomMotB",131.6,82,66.5,41,95,82
